fact_id,gene,source_dataset,gene_type,gold_label,claim_text,split
F016_v2,IGFBP2,OpenGenes,og_extending_paraphrase,SUPPORTED,OpenGenes lists IGFBP2 among genes with lifespan-extending experimental support.,train
F017_v1,CDKN2A,OpenGenes,og_extending_paraphrase,SUPPORTED,"Based on OpenGenes data, CDKN2A has evidence supporting lifespan extension.",test
F017_v2,CDKN2A,OpenGenes,og_extending_paraphrase,SUPPORTED,OpenGenes lists CDKN2A among genes with lifespan-extending experimental support.,test
F018_v1,IKBKB,OpenGenes,og_extending_paraphrase,SUPPORTED,"Based on OpenGenes data, IKBKB has evidence supporting lifespan extension.",train
F018_v2,IKBKB,OpenGenes,og_extending_paraphrase,SUPPORTED,OpenGenes lists IKBKB among genes with lifespan-extending experimental support.,train
F019_v1,CYB5R3,OpenGenes,og_extending_paraphrase,SUPPORTED,"Based on OpenGenes data, CYB5R3 has evidence supporting lifespan extension.",train
F019_v2,CYB5R3,OpenGenes,og_extending_paraphrase,SUPPORTED,OpenGenes lists CYB5R3 among genes with lifespan-extending experimental support.,train
F020_v1,TERT,OpenGenes,og_extending_paraphrase,SUPPORTED,"Based on OpenGenes data, TERT has evidence supporting lifespan extension.",train
F020_v2,TERT,OpenGenes,og_extending_paraphrase,SUPPORTED,OpenGenes lists TERT among genes with lifespan-extending experimental support.,train
F031_v1,GAPDH,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,"According to CellAge, GAPDH is associated with cellular senescence.",train
F031_v2,GAPDH,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,CellAge database: is GAPDH catalogued as a senescence gene?,train
F032_v1,ACTB,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,"According to CellAge, ACTB is associated with cellular senescence.",train
F032_v2,ACTB,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,CellAge database: is ACTB catalogued as a senescence gene?,train
F033_v1,TUBB,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,"According to CellAge, TUBB is associated with cellular senescence.",train
F033_v2,TUBB,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,CellAge database: is TUBB catalogued as a senescence gene?,train
F034_v1,LDHA,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,"According to CellAge, LDHA is associated with cellular senescence.",train
F034_v2,LDHA,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,CellAge database: is LDHA catalogued as a senescence gene?,train
F035_v1,PKM,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,"According to CellAge, PKM is associated with cellular senescence.",test
F035_v2,PKM,CellAge,hard_negative_paraphrase,NOT_SUPPORTED,CellAge database: is PKM catalogued as a senescence gene?,test
